"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Q96E09",0,3177.478,13884.51,6396.657,52307.97,54101.25,105047.4,125298.5,23166.23,30680.88,0,0
"Q96EB6",0,6245.749,1673.474,3039.22,10148.94,1594.809,5809.441,2079.825,1384.958,2364.537,0,0
"Q96EV2",229062.2,312225.5,192530.8,241477.5,475642.5,126510.6,99738.31,34091.77,431861.3,301421.8,0,0
"Q96EV2.1",3841.729,195721.3,10002.12,137752.3,22016.83,29623.81,75.11237,7855.647,6787.777,6047.099,0,0
"Q96G23",12509.51,8596.017,7651.04,9460.841,20950.04,6121.235,4218.304,4489.797,15138.73,5679.029,0,0
"Q96GM8",18736.1,31641.42,66936.35,49893.63,36887.28,12865.21,24920.65,8349.087,78210.24,64258.48,0,0
"Q96HR8",88643.44,147758.6,121770.2,130272.9,39292.65,42724.94,121351,109887.3,111856.7,52330.51,0,0
"Q96JM3",18322.37,33638.97,13673.95,15767.55,7400.798,10445.55,45138.98,42215.12,19102.02,12014.09,0,0
"Q96JM3.1",71720.99,105892.5,130754.8,108464.1,54015.97,63312.66,292251.1,351577.4,107886.1,94210.18,0,0
"Q96JM3.2",340797.2,481735.2,254059,182815.1,357072.5,399023.5,495879,569649,351403.5,344653.3,0,0
"Q96JM3.3",100710.2,133053.3,103575.8,116811.8,52523.63,30274.29,81461.27,133651,58886.59,71276.58,0,0
"Q96JQ2",1780.104,4617.41,30845.63,17228.54,13103.22,18848.75,70708.03,42199,13843.1,0,0,0
"Q96JQ2.1",7010.014,3857.765,73.62157,2587.344,491.4274,4460.788,74902.93,2191.479,2407.619,3315.282,0,0
"Q96K21",0,3807.802,1690.926,27247.33,13867.32,0,23762.47,27015.43,10305.11,5250.835,0,0
"Q96KC8",97672.6,167086.4,64242.24,80732.71,87950.29,80391.06,119758.4,103655.1,79436.34,100449.4,0,0
"Q96RS0",71550.45,90543.97,166268.6,100397.1,52598.85,30326,38016.85,13586.19,83018.93,55588.69,0,0
"Q96SB4",735550.1,798377.2,774259.6,817420.2,648469.3,481864.7,179160.5,185619.7,311569.4,423240.3,0,0
"Q96SB4.1",69052.32,95365.73,136296,101640,45714.78,32496.97,28774.24,21260.77,59653.89,48905.81,0,0
"Q96ST2",132913.2,174156.9,115540.9,115601.7,188128.1,152899.9,88384.49,65326.8,124555.2,147081.5,0,0
"Q96ST2.1",54400.3,78013.71,15640.67,8372.697,59042.12,22927.23,5111.07,4350.585,23738.16,10726.02,0,0
"Q96ST2.2",16198.41,39369.16,60913.52,32750.03,53942.96,40382.39,65623.58,45033.32,54415.68,51379.1,0,0
"Q96ST2.3",10991.59,22246.42,26625.15,15535.74,29768.99,19602.13,4643.004,3205.852,19981.12,10751.67,0,0
"Q96ST2.4",9463.833,13317.33,9739.815,36324.69,40025.1,13019.08,159.777,780.4761,27442.58,26504.28,0,0
"Q96ST2.5",79488.82,94666.6,52138.72,45024.7,51853.07,34665.95,35156,14654.75,49364.6,43953.01,0,0
"Q96ST2.6",48000.62,70582.99,33724.4,24027.31,61303.83,45079.8,33564.5,29528.37,74249.93,53124.79,0,0
"Q96ST2.7",35218.93,80259.3,17365.73,13733.79,63936.34,21796.71,46968.03,22514.68,36043.2,32049.27,0,0
"Q96ST2.8",9640.573,21360.25,15477.83,2543.842,18182.06,15617.17,30868.45,16496.23,12612.51,14630.53,0,0
"Q96ST2.9",2270.24,9345.033,1443.645,619.1902,21411.67,11898.27,16935.37,14487.55,6658.889,2669.526,0,0
"Q96T23",1411.659,1831.972,0,0,1163.833,1681.622,17287.89,16842.37,5651.467,2432.807,0,0
"Q96T23.1",3392.548,22472.47,4227.103,19526.39,19265.08,6271.226,199313.3,192874.8,29403.84,18373.14,0,0
"Q96T37",226105.5,215168,285789.8,273118.6,308490.3,47243.11,64367.85,19989,384465.1,292713,0,0
"Q96T37.1",1587.265,5034.822,8327.935,3992.66,1819.048,0,91320.96,97485.15,18781.77,11004.93,0,0
"Q96T37.2",10961.57,13904.76,20599.25,20543.33,4908.624,9763.261,56214.81,43827.54,33096.12,32490.59,0,0
"Q96T60",24666.32,44326.78,28432.39,36805.74,11930.18,14770.54,41023.14,42107.55,8837.383,2475.984,0,0
"Q96TA1",135611.1,206564.3,441644.9,459334.5,371627.1,339830.4,860754.6,954378.1,511726.2,428592.3,0,0
"Q96TA1.1",323507.4,519410.1,77421.6,125756.2,783561.8,783549.4,832402,991181.7,1366745,1096843,0,0
"Q96TC7",6655.363,11940.91,47439.37,52475.92,1555.784,0,20761,27863.78,13982.76,10858.7,0,0
"Q99613",22890.98,28113.88,15371.96,13142.3,27849.03,15813.55,24957.11,23908.72,17450.18,5296.031,0,0
"Q99733",430420.6,245296.5,1196841,1315983,960744.8,1011204,724029,803630.3,879112.2,804984.1,0,0
"Q99733.1",81369.12,83425.97,188646.4,194220.1,99308.74,85398.08,762946.2,991629.6,98939.44,77251.1,0,0
"Q99733.2",492903.5,553722.8,632885.3,637996.9,421341.6,345175.1,231895.2,285687.2,401758.9,312601.6,0,0
"Q99959.3",51436.73,79101.86,127149.5,112628.2,8113.026,13598.65,71671.85,91512.31,23517.87,16850.95,0,0
"Q99959.4",1607.157,7847.083,50869.2,33662.22,6863.844,2989.919,12561.55,15538.25,10887.78,4621.507,0,0
"Q99959.5",128529.4,194557,366478.5,265132.1,70066.09,45805.02,144540.4,143043.4,127173.4,75614.32,0,0
"Q99959.6",184515.8,253724.5,436600.2,346865.6,57903.59,44097.86,110989.4,76089.19,201980,155628.9,0,0
"Q99959.7",0,892.3845,2634.684,0,0,0,0,0,0,0,0,0
"Q99959.8",0,0,0,0,0,0,454.5711,3630.108,0,0,0,0
"Q99959.9",27630.88,40050.76,11769.87,9642.435,821.6255,893.3452,88140.39,80338.46,28460.35,35274.23,0,0
"Q9BPX3",35806.59,72036.12,102482.8,97615.92,45791.28,19203.08,27143.35,4511.134,127346.8,147958.8,0,0
"Q9BQA1",49358.8,83235.51,179730.9,145714,63776.18,45198.24,169719.9,193353.5,95121.69,78522.63,0,0
"Q9BQG0",17383.91,14354.93,1754.697,0,0,0,567.357,2765.593,9902.38,2619.567,0,0
"Q9BRD0",36731.39,54020.79,41957.48,26130.7,23068.17,8585.485,8517.198,8135.881,16766.04,19493.85,0,0
"Q9BRD0.1",6376.068,9450.499,10340.38,6246.005,32483.34,5695.741,2352.581,1946.151,16392.05,9396.719,0,0
"Q9BRD0.2",844.2713,2392.945,2850.976,4917.521,1253.405,0,9551.644,11547.86,4928.354,52.08952,0,0
"Q9BRG2",0,0,1843.297,0,0,0,25705.4,29351.25,0,0,0,0
"Q9BRG2.1",0,1.866806,6012.554,0,1.049941,0,45606.15,46042.17,1509.514,2799.904,0,0
"Q9BRG2.2",12621.39,18994.99,33915.49,31150.13,11783.08,9702.647,11360.35,7762.392,52309.76,55649.51,0,0
"Q9BRG2.3",0,0,4889.348,7294.802,1692.788,0,9564.046,15883.04,11037.04,8520.468,0,0
"Q9BSJ8",0,0,1338.072,0,0,0,15596.94,10378.15,2764.224,0,0,0
"Q9BTC0",43100.33,109039.6,178136.5,148963.8,134954.9,109465.8,159519.2,139697.2,212340.8,140096.9,0,0
"Q9BUH6",48438.36,60327.92,133323.7,87844.99,61176.18,56672.88,70211.85,65559.56,121841.2,114194.4,0,0
